nation_or_region_name,type,sequence_num,longitude,latitude,part
East Midlands,region,0,0.357368,53.190066,1
East Midlands,region,1,0.351548,53.110755,1
East Midlands,region,2,0.306521,53.029179,1
East Midlands,region,3,0.231764,52.999503,1
East Midlands,region,4,0.202655,53.004832,1
East Midlands,region,5,0.026813,52.898707,1
East Midlands,region,6,0.08817,52.935047,1
East Midlands,region,7,0.124168,52.941807,1
East Midlands,region,8,0.093116,52.934658,1
East Midlands,region,9,0.130897,52.93966,1
East Midlands,region,10,0.093749,52.908904,1
East Midlands,region,11,0.107793,52.912336,1
East Midlands,region,12,0.191592,52.971163,1
East Midlands,region,13,0.215157,52.970377,1
East Midlands,region,14,0.221954,52.95658,1
East Midlands,region,15,0.127661,52.915365,1
East Midlands,region,16,0.152035,52.9227,1
East Midlands,region,17,0.157118,52.909374,1
East Midlands,region,18,0.168186,52.924791,1
East Midlands,region,19,0.204799,52.93132,1
East Midlands,region,20,0.20667,52.909779,1
East Midlands,region,21,0.196687,52.921887,1
East Midlands,region,22,0.172724,52.914203,1
East Midlands,region,23,0.198599,52.907218,1
East Midlands,region,24,0.211012,52.884842,1
East Midlands,region,25,0.217903,52.828218,1
East Midlands,region,26,0.272995,52.824206,1
East Midlands,region,27,0.245069,52.784503,1
East Midlands,region,28,0.272194,52.772785,1
East Midlands,region,29,0.186308,52.735329,1
East Midlands,region,30,0.142062,52.739899,1
East Midlands,region,31,0.089009,52.723612,1
East Midlands,region,32,0.063612,52.727371,1
East Midlands,region,33,0.044135,52.714363,1
East Midlands,region,34,0.048833,52.681751,1
East Midlands,region,35,0.021043,52.664765,1
East Midlands,region,36,-0.031287,52.661514,1
East Midlands,region,37,-0.06373,52.675214,1
East Midlands,region,38,-0.102212,52.672187,1
East Midlands,region,39,-0.141078,52.651488,1
East Midlands,region,40,-0.180035,52.660542,1
East Midlands,region,41,-0.192882,52.652419,1
East Midlands,region,42,-0.206052,52.668054,1
East Midlands,region,43,-0.260642,52.651394,1
East Midlands,region,44,-0.289253,52.670257,1
East Midlands,region,45,-0.334998,52.674852,1
East Midlands,region,46,-0.405693,52.648028,1
East Midlands,region,47,-0.452706,52.654259,1
East Midlands,region,48,-0.494785,52.640296,1
East Midlands,region,49,-0.470933,52.623541,1
East Midlands,region,50,-0.49293,52.582091,1
East Midlands,region,51,-0.478828,52.573627,1
East Midlands,region,52,-0.419996,52.581337,1
East Midlands,region,53,-0.401958,52.548083,1
East Midlands,region,54,-0.413483,52.525489,1
East Midlands,region,55,-0.352192,52.503307,1
East Midlands,region,56,-0.341608,52.466925,1
East Midlands,region,57,-0.362426,52.433514,1
East Midlands,region,58,-0.41709,52.411583,1
East Midlands,region,59,-0.443778,52.383841,1
East Midlands,region,60,-0.495963,52.3795,1
East Midlands,region,61,-0.498716,52.36008,1
East Midlands,region,62,-0.4647,52.324745,1
East Midlands,region,63,-0.519847,52.317678,1
East Midlands,region,64,-0.541986,52.289928,1
East Midlands,region,65,-0.540921,52.256513,1
East Midlands,region,66,-0.56571,52.253455,1
East Midlands,region,67,-0.602909,52.278737,1
East Midlands,region,68,-0.647386,52.27101,1
East Midlands,region,69,-0.637349,52.227304,1
East Midlands,region,70,-0.668153,52.195021,1
East Midlands,region,71,-0.701689,52.193296,1
East Midlands,region,72,-0.761908,52.163469,1
East Midlands,region,73,-0.777897,52.16876,1
East Midlands,region,74,-0.792109,52.151317,1
East Midlands,region,75,-0.801974,52.158666,1
East Midlands,region,76,-0.814058,52.14246,1
East Midlands,region,77,-0.831983,52.143671,1
East Midlands,region,78,-0.832057,52.131248,1
East Midlands,region,79,-0.880737,52.126319,1
East Midlands,region,80,-0.887032,52.114197,1
East Midlands,region,81,-0.831437,52.071935,1
East Midlands,region,82,-0.862751,52.060876,1
East Midlands,region,83,-0.852465,52.050694,1
East Midlands,region,84,-0.880312,52.028683,1
East Midlands,region,85,-0.908395,52.022229,1
East Midlands,region,86,-0.951891,52.081522,1
East Midlands,region,87,-0.967823,52.070899,1
East Midlands,region,88,-1.04213,52.073925,1
East Midlands,region,89,-1.026689,52.064221,1
East Midlands,region,90,-1.122004,52.045136,1
East Midlands,region,91,-1.134347,51.997286,1
East Midlands,region,92,-1.196809,51.977357,1
East Midlands,region,93,-1.24163,51.986283,1
East Midlands,region,94,-1.283509,51.979614,1
East Midlands,region,95,-1.278181,52.014262,1
East Midlands,region,96,-1.312936,52.051442,1
East Midlands,region,97,-1.297524,52.078046,1
East Midlands,region,98,-1.32118,52.087008,1
East Midlands,region,99,-1.248101,52.097149,1
East Midlands,region,100,-1.332336,52.172375,1
East Midlands,region,101,-1.313148,52.190453,1
East Midlands,region,102,-1.254997,52.197817,1
East Midlands,region,103,-1.284658,52.238563,1
East Midlands,region,104,-1.266905,52.235228,1
East Midlands,region,105,-1.215915,52.263948,1
East Midlands,region,106,-1.233797,52.290312,1
East Midlands,region,107,-1.209248,52.315188,1
East Midlands,region,108,-1.262281,52.334278,1
East Midlands,region,109,-1.17214,52.361284,1
East Midlands,region,110,-1.307151,52.494227,1
East Midlands,region,111,-1.522264,52.570331,1
East Midlands,region,112,-1.560749,52.596121,1
East Midlands,region,113,-1.571289,52.635583,1
East Midlands,region,114,-1.542429,52.653609,1
East Midlands,region,115,-1.590817,52.698007,1
East Midlands,region,116,-1.655048,52.698782,1
East Midlands,region,117,-1.656614,52.721731,1
East Midlands,region,118,-1.703781,52.729869,1
East Midlands,region,119,-1.666542,52.784705,1
East Midlands,region,120,-1.611135,52.781386,1
East Midlands,region,121,-1.588875,52.799848,1
East Midlands,region,122,-1.610499,52.816387,1
East Midlands,region,123,-1.585356,52.831697,1
East Midlands,region,124,-1.626956,52.854464,1
East Midlands,region,125,-1.704349,52.866663,1
East Midlands,region,126,-1.725326,52.859646,1
East Midlands,region,127,-1.77712,52.883775,1
East Midlands,region,128,-1.832951,52.886905,1
East Midlands,region,129,-1.854219,52.930635,1
East Midlands,region,130,-1.829825,52.945649,1
East Midlands,region,131,-1.826784,52.977068,1
East Midlands,region,132,-1.762574,52.999651,1
East Midlands,region,133,-1.75775,53.01698,1
East Midlands,region,134,-1.759781,53.038696,1
East Midlands,region,135,-1.7847,53.049913,1
East Midlands,region,136,-1.783729,53.10281,1
East Midlands,region,137,-1.839299,53.176908,1
East Midlands,region,138,-1.956711,53.213729,1
East Midlands,region,139,-1.962368,53.226224,1
East Midlands,region,140,-1.989603,53.215699,1
East Midlands,region,141,-1.974862,53.231043,1
East Midlands,region,142,-2.009484,53.260636,1
East Midlands,region,143,-2.006786,53.354556,1
East Midlands,region,144,-2.034098,53.367839,1
East Midlands,region,145,-1.992332,53.415177,1
East Midlands,region,146,-2.023711,53.420536,1
East Midlands,region,147,-2.027431,53.43223,1
East Midlands,region,148,-1.985795,53.45521,1
East Midlands,region,149,-1.971661,53.504255,1
East Midlands,region,150,-1.921975,53.509938,1
East Midlands,region,151,-1.913474,53.537217,1
East Midlands,region,152,-1.873494,53.540414,1
East Midlands,region,153,-1.800779,53.511363,1
East Midlands,region,154,-1.798329,53.478659,1
East Midlands,region,155,-1.745323,53.462159,1
East Midlands,region,156,-1.739762,53.420971,1
East Midlands,region,157,-1.654611,53.392936,1
East Midlands,region,158,-1.66355,53.366578,1
East Midlands,region,159,-1.590588,53.345941,1
East Midlands,region,160,-1.612304,53.343201,1
East Midlands,region,161,-1.628109,53.31631,1
East Midlands,region,162,-1.609203,53.322647,1
East Midlands,region,163,-1.599006,53.31131,1
East Midlands,region,164,-1.584903,53.321571,1
East Midlands,region,165,-1.537142,53.304686,1
East Midlands,region,166,-1.408748,53.341946,1
East Midlands,region,167,-1.386572,53.334883,1
East Midlands,region,168,-1.38674,53.317613,1
East Midlands,region,169,-1.337751,53.315829,1
East Midlands,region,170,-1.305973,53.33375,1
East Midlands,region,171,-1.282011,53.309441,1
East Midlands,region,172,-1.20324,53.304202,1
