,payment_date,card_type,amount_spent
0,2021-03-16 06:44:24,maestro,1380
1,2021-05-23 19:18:36,jcb,7627
2,2021-01-06 22:56:03,jcb,1844
3,2021-03-27 12:25:47,jcb,7452
4,2021-01-02 06:28:18,mastercard,1265
5,2021-08-14 07:34:16,visa,8902
6,2021-08-14 21:29:50,visa-electron,991
7,2021-04-03 06:29:17,solo,4083
8,2021-02-09 05:32:29,diners-club-us-ca,4140
9,2021-08-17 15:07:50,mastercard,204
10,2021-10-18 15:36:46,switch,8760
11,2021-02-28 20:44:23,diners-club-enroute,2034
12,2021-08-30 14:53:18,jcb,8312
13,2021-07-13 15:53:27,diners-club-enroute,8065
14,2021-09-02 16:04:35,laser,8629
15,2021-07-18 12:40:45,jcb,7374
16,2021-04-04 13:19:27,visa-electron,6165
17,2021-10-04 17:36:54,jcb,9616
18,2021-04-23 03:37:36,visa,9293
19,2021-10-02 04:56:00,mastercard,4291
20,2021-08-24 12:32:53,jcb,4269
21,2021-11-01 05:03:18,americanexpress,2028
22,2021-04-18 22:27:09,jcb,6820
23,2021-02-27 11:53:42,maestro,1226
24,2021-11-19 17:12:16,china-unionpay,1902
25,2021-09-24 16:58:59,bankcard,9727
26,2021-08-26 01:12:57,jcb,3512
27,2021-11-13 21:36:23,mastercard,6018
28,2021-12-20 12:31:12,jcb,2546
29,2021-11-19 06:05:54,visa-electron,2523
30,2021-08-19 02:40:16,visa-electron,7296
31,2021-08-10 23:28:13,instapayment,4281
32,2021-01-17 00:49:29,solo,3622
33,2021-04-09 04:57:49,maestro,1896
34,2021-01-28 07:08:19,china-unionpay,6094
35,2021-01-29 04:26:06,jcb,2624
36,2021-11-25 19:10:20,switch,2618
37,2021-04-16 20:36:08,diners-club-carte-blanche,2844
38,2021-11-08 13:21:03,switch,4880
39,2021-03-28 16:53:52,maestro,7865
40,2021-08-17 16:20:32,china-unionpay,2020
41,2021-10-17 12:02:39,jcb,3218
42,2021-06-01 23:00:36,jcb,6133
43,2021-07-02 09:00:16,diners-club-carte-blanche,5813
44,2021-02-07 14:23:34,mastercard,5989
45,2021-01-20 10:30:09,solo,1977
46,2021-01-04 09:30:17,visa-electron,5893
47,2021-03-01 02:45:59,jcb,8146
48,2021-05-03 17:12:18,laser,8096
49,2021-09-29 16:56:03,jcb,9859
50,2021-02-27 03:17:27,jcb,2624
51,2021-09-16 07:39:09,maestro,9957
52,2021-01-10 01:38:25,jcb,2236
53,2021-04-24 06:24:21,jcb,6032
54,2021-08-25 04:17:36,switch,1937
55,2021-06-02 12:45:45,mastercard,6373
56,2021-10-25 21:02:10,jcb,2751
57,2021-11-21 14:01:50,maestro,8809
58,2021-05-15 02:00:09,solo,6503
59,2021-03-01 08:16:55,americanexpress,803
60,2021-03-22 09:12:52,jcb,8226
61,2021-11-22 19:46:46,maestro,7317
62,2021-05-27 11:02:58,solo,1275
63,2021-12-19 14:08:25,laser,3080
64,2021-05-08 13:07:14,jcb,4459
65,2021-04-08 16:43:41,switch,2408
66,2021-10-16 15:52:34,americanexpress,5721
67,2021-01-01 10:18:52,americanexpress,5559
68,2021-05-10 08:47:54,jcb,9913
69,2021-11-17 19:14:32,bankcard,2647
70,2021-11-12 00:14:29,jcb,2809
71,2021-08-23 05:11:09,americanexpress,2767
72,2021-05-21 03:24:21,switch,3290
73,2021-02-09 18:41:50,maestro,9602
74,2021-11-06 05:51:09,china-unionpay,6052
75,2021-01-18 09:11:05,jcb,8623
76,2021-01-16 11:05:21,bankcard,7165
77,2021-05-06 00:51:03,maestro,5145
78,2021-10-26 09:02:25,americanexpress,4958
79,2021-12-12 02:05:03,jcb,1121
80,2021-10-26 12:23:29,bankcard,3991
81,2021-05-18 03:56:45,mastercard,2664
82,2021-10-22 10:57:36,visa-electron,5469
83,2021-06-20 07:10:13,visa-electron,5487
84,2021-08-24 18:21:55,jcb,9273
85,2021-11-08 03:42:55,jcb,3503
86,2021-06-20 23:22:33,china-unionpay,1531
87,2021-01-18 08:04:23,visa-electron,1852
88,2021-09-17 17:14:27,mastercard,3367
89,2021-12-16 05:09:58,jcb,1774
90,2021-05-03 11:07:57,jcb,9024
91,2021-04-25 12:40:14,jcb,5860
92,2021-10-13 15:59:47,jcb,6176
93,2021-05-19 05:49:03,americanexpress,3032
94,2021-08-08 06:49:08,visa-electron,7776
95,2021-06-04 17:13:46,jcb,7739
96,2021-02-06 16:27:16,mastercard,2183
97,2021-02-06 18:19:58,jcb,295
98,2021-03-21 04:36:53,switch,1751
